time,y,x,spatial_ref,ndvi
2019-02-05,1181505.0,2580015.0,2056.0,0.27405336
2019-02-14,1181505.0,2580015.0,2056.0,0.21835196
2019-02-21,1181505.0,2580015.0,2056.0,0.1741887
2019-03-18,1181505.0,2580015.0,2056.0,0.21641694
2019-04-10,1181505.0,2580015.0,2056.0,0.19973083
2019-04-19,1181505.0,2580015.0,2056.0,0.24436289
2019-06-13,1181505.0,2580015.0,2056.0,0.4512548
2019-06-29,1181505.0,2580015.0,2056.0,0.43567032
2019-07-08,1181505.0,2580015.0,2056.0,0.4278832
2019-07-24,1181505.0,2580015.0,2056.0,0.42179203
2019-07-31,1181505.0,2580015.0,2056.0,0.39753255
2019-08-09,1181505.0,2580015.0,2056.0,0.4301234
2019-08-25,1181505.0,2580015.0,2056.0,0.40838137
2019-09-01,1181505.0,2580015.0,2056.0,0.23469287
2019-09-17,1181505.0,2580015.0,2056.0,0.3653088
2019-10-03,1181505.0,2580015.0,2056.0,0.3578012
2019-12-06,1181505.0,2580015.0,2056.0,0.15816246
2019-12-15,1181505.0,2580015.0,2056.0,0.2412082
2019-12-31,1181505.0,2580015.0,2056.0,0.18704873
2020-01-07,1181505.0,2580015.0,2056.0,0.09602971
2020-01-16,1181505.0,2580015.0,2056.0,0.16332842
2020-02-24,1181505.0,2580015.0,2056.0,0.17005038
2020-03-04,1181505.0,2580015.0,2056.0,0.1929428
2020-03-20,1181505.0,2580015.0,2056.0,0.21228328
2020-03-27,1181505.0,2580015.0,2056.0,0.21734762
2020-04-05,1181505.0,2580015.0,2056.0,0.2119074
2020-04-12,1181505.0,2580015.0,2056.0,0.22646825
2020-05-07,1181505.0,2580015.0,2056.0,0.43560535
2020-05-30,1181505.0,2580015.0,2056.0,0.42603612
2020-06-24,1181505.0,2580015.0,2056.0,0.42539614
2020-07-01,1181505.0,2580015.0,2056.0,0.4001053
2020-07-10,1181505.0,2580015.0,2056.0,0.38166976
2020-08-02,1181505.0,2580015.0,2056.0,0.2969147
2020-08-11,1181505.0,2580015.0,2056.0,0.38257647
2020-08-18,1181505.0,2580015.0,2056.0,0.35521394
2020-09-12,1181505.0,2580015.0,2056.0,0.34637052
2020-10-14,1181505.0,2580015.0,2056.0,0.24052641
2020-10-30,1181505.0,2580015.0,2056.0,0.21932663
2020-11-15,1181505.0,2580015.0,2056.0,0.17280358
2020-11-22,1181505.0,2580015.0,2056.0,0.16851132
2021-01-18,1181505.0,2580015.0,2056.0,0.2520079
2021-02-19,1181505.0,2580015.0,2056.0,0.16903955
2021-02-26,1181505.0,2580015.0,2056.0,0.16828349
2021-03-07,1181505.0,2580015.0,2056.0,0.12127681
2021-03-23,1181505.0,2580015.0,2056.0,0.17879972
2021-03-30,1181505.0,2580015.0,2056.0,0.17965753
2021-04-08,1181505.0,2580015.0,2056.0,0.20102803
2021-04-15,1181505.0,2580015.0,2056.0,0.2611134
2021-04-24,1181505.0,2580015.0,2056.0,0.20653948
2021-06-11,1181505.0,2580015.0,2056.0,0.45338207
2021-06-18,1181505.0,2580015.0,2056.0,0.40383902
2021-06-27,1181505.0,2580015.0,2056.0,0.3979541
2021-07-20,1181505.0,2580015.0,2056.0,0.40306845
2021-07-29,1181505.0,2580015.0,2056.0,0.44076112
2021-08-14,1181505.0,2580015.0,2056.0,0.4087781
2021-08-21,1181505.0,2580015.0,2056.0,0.379842
2021-09-06,1181505.0,2580015.0,2056.0,0.38908783
