Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Payerne
Altitude [m asl]:         490 m
Coordinates:              46° 48.7' N / 6° 56.5' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2020

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.11.2022


Year  Month        Temperature      Precipitation  
1981      7               16.4               89.8  
1981      8               17.7               31.6  
1981      9               14.4              100.2  
1981     10                9.5              111.5  
1981     11                3.8               39.4  
1981     12                1.0              122.5  
1982      1                1.4               75.7  
1982      2                0.7               26.5  
1982      3                4.3               66.0  
1982      4                7.6               12.1  
1982      5               12.7               51.8  
1982      6               16.6              153.4  
1982      7               19.1               86.6  
1982      8               17.1              164.4  
1982      9               16.0               51.2  
1982     10                9.7              107.6  
1982     11                4.7               43.4  
1982     12                2.9               92.6  
1983      1                1.7               33.1  
1983      2               -1.2               31.8  
1983      3                5.2               63.3  
1983      4                8.2               97.9  
1983      5               10.2              151.6  
1983      6               17.0               52.9  
1983      7               21.8               41.8  
1983      8               18.3               94.2  
1983      9               14.7              121.6  
1983     10                9.4               47.7  
1983     11                3.3               98.0  
1983     12                0.7               50.1  
1984      1                1.2               82.0  
1984      2                0.3               55.8  
1984      3                2.4               40.6  
1984      4                7.4               35.1  
1984      5                9.9               85.1  
1984      6               15.3               72.9  
1984      7               18.0               62.9  
1984      8               17.2               50.7  
1984      9               13.3              182.8  
1984     10                9.7               77.4  
1984     11                5.4               60.9  
1984     12                1.8               61.6  
1985      1               -4.8               86.0  
1985      2               -0.9               54.5  
1985      3                3.3               58.1  
1985      4                8.6              116.2  
1985      5               12.3              113.8  
1985      6               14.6              109.4  
1985      7               19.4               57.7  
1985      8               17.3               87.8  
1985      9               15.4               18.5  
1985     10                9.8                1.8  
1985     11                1.8               81.0  
1985     12                1.7               64.0  
1986      1                1.1               86.1  
1986      2               -4.1               47.2  
1986      3                3.3               42.1  
1986      4                6.3              131.4  
1986      5               14.6              108.0  
1986      6               16.3               51.3  
1986      7               18.3               71.4  
1986      8               17.5              126.1  
1986      9               14.2               37.2  
1986     10               10.8               62.3  
1986     11                4.1               29.7  
1986     12                1.5               54.4  
1987      1               -3.5               43.0  
1987      2                1.2               79.7  
1987      3                1.9               52.3  
1987      4                9.1               54.9  
1987      5                9.8              108.4  
1987      6               14.3              186.9  
1987      7               18.2              135.1  
1987      8               17.6               96.0  
1987      9               16.6              127.2  
1987     10               10.6               69.8  
1987     11                5.2               60.5  
1987     12                1.8               36.9  
1988      1                3.2               75.0  
1988      2                1.6               65.3  
1988      3                4.2              116.7  
1988      4                9.3               37.6  
1988      5               13.8              101.2  
1988      6               15.6               40.9  
1988      7               17.9               98.8  
1988      8               18.2               99.5  
1988      9               14.0               72.4  
1988     10               10.4              144.5  
1988     11                3.3               18.2  
1988     12                2.3               62.5  
1989      1                0.4                8.8  
1989      2                2.2               40.8  
1989      3                7.3               50.9  
1989      4                7.2              105.2  
1989      5               14.2               48.5  
1989      6               15.5               39.2  
1989      7               19.0               76.0  
1989      8               18.0               47.7  
